Country Code,Country Name,Year,fdi_inflows_percent_gdp,inflation,government_consumption_percent_gdp,exports_percent_gdp,gross_fixed_capital_formation,imports_percent_gdp,gdp_growth,gdp_per_capita,unemployment,population_growth,trade_openness
AUT,Austria,1995,0.760156006172297,2.24336631500898,19.9136754254981,33.6650009227647,25.6814352868846,34.8600048302325,2.66798388882503,33603.4278263558,4.345,0.153106260702748,68.5250057529972
AUT,Austria,1996,1.83236524365315,1.86097115760437,19.9199775990025,34.4377355805807,25.9792394170832,36.0315807177005,2.21576713087359,34301.6562151382,5.282,0.135019833748789,70.4693162982812
AUT,Austria,1997,1.26058669809025,1.30597857227691,19.9074840934066,37.2144335874111,25.5410735111136,38.0300424431444,2.1458350552646,34998.0321173934,5.15,0.113316608322994,75.2444760305555
AUT,Austria,1998,2.1061851136777,0.922467196680849,19.8805896009437,38.5615906228388,25.5828501885423,38.787931037573,3.49288002962309,36180.7490571265,5.483,0.109728368100981,77.3495216604118
AUT,Austria,1999,1.37439937408037,0.568993765885531,20.1321065204172,39.5093125883092,25.0791471023159,39.0536203889869,3.76192435190464,37468.8698869794,4.699,0.194563153264961,78.5629329772961
AUT,Austria,2000,4.33323688730786,2.34486285357281,19.5314707769617,43.591091462861,25.706049968312,42.2515162707939,3.18952292988787,38571.0858780001,4.687,0.240466652446524,85.8426077336549
AUT,Austria,2001,2.89572243102078,2.65000077279529,19.2543106270972,44.8518101806208,24.9279130602684,43.1444465379839,1.31698749571339,38929.753800545,4.007,0.382799394483217,87.99625671860471
AUT,Austria,2002,0.0650010498093938,1.81035787764129,19.0915242404323,45.6510533943756,23.6230774906842,41.9334403110863,1.48436877605324,39313.7225107545,4.852,0.49198046425522,87.58449370546191
AUT,Austria,2003,2.37557550248335,1.35555370896445,19.1994923160856,44.8257225915126,24.1941212310447,42.0565037313482,1.14156504542775,39569.2885567329,4.779,0.487133894826838,86.8822263228608
AUT,Austria,2004,1.0640170021225,2.0612061803287,19.1435006201648,47.2191991038628,23.7682466626674,44.2550210841381,2.56525534067859,40333.3307183894,5.969,0.620413127334181,91.4742201880009
